ts,git,arch,model,mode,cl,pp,tg,threads,ttft_ms,prefill_ms,decode_ms,decode_ms_per_tok,peak_rss_kb,kv_est_kb
2026-02-14T18:05:27+08:00,c97cbff3416a,x86_64,tiny_llama,prefill_ttft,256,254,2,8,8924.927,8924.927,183.388,91.694,4206664,5632
2026-02-14T18:05:27+08:00,c97cbff3416a,x86_64,tiny_llama,decode_heavy,512,256,256,8,10146.123,10146.123,206.9427,0.808369921875,4280364,11264
2026-02-14T18:05:27+08:00,c97cbff3416a,x86_64,tiny_llama,prefill_ttft,512,510,2,8,16943.049,16943.049,202.328,101.164,4363296,11264
2026-02-14T18:05:27+08:00,c97cbff3416a,x86_64,tiny_llama,decode_heavy,1024,768,256,8,31613.04,31613.04,216.21431,0.8445871484375,4754708,22528
2026-02-14T18:05:27+08:00,c97cbff3416a,x86_64,tiny_llama,prefill_ttft,1024,1022,2,8,57570.35,57570.36,170.002,85.001,4839152,22528
2026-02-14T18:05:27+08:00,c97cbff3416a,x86_64,tiny_llama,decode_heavy,2048,1792,256,8,146838.88,146838.88,209.86491,0.8197848046875,5655212,45056
2026-02-14T18:05:27+08:00,c97cbff3416a,x86_64,tiny_llama,prefill_ttft,2048,2046,2,8,169974.84,169974.86,536.1,268.05,6088752,45056
2026-02-14T18:05:27+08:00,c97cbff3416a,x86_64,tiny_llama,decode_heavy,4096,3840,256,8,521212.1,521212.1,236.89551,0.9253730859375,6814964,90112
2026-02-14T18:05:27+08:00,c97cbff3416a,x86_64,tiny_llama,prefill_ttft,4096,4094,2,8,580526.56,580526.6,2444.4402,1222.2201,7023692,90112
